Code,SECTIONNO,TITLE,FACULTY,CREDITS,INSTRUCTORFULLNAME,SCHEDULEFORPRINT
"
MGMT202,E,Örgütler,İşletme Fakültesi,6,NERİMAN GÖKÇAY,"Çarşamba | 09:40 - 12:30
"
MGMT306,A,İnsan Kaynakları Yönetimi,İşletme Fakültesi,6,MAHMUT BAYAZIT,"Pazartesi | 09:40 - 12:30
"
MGMT311,A,Proje Yönetimi,İşletme Fakültesi,6,ERIK DEN HARTIGH,"Salı | 08:40 - 11:30
"
MGMT312,A,Örgüt Kuramı ve Tasarımı,İşletme Fakültesi,6,BEHLÜL ÜSDİKEN,"Perşembe | 13:40 - 16:30
"
MGMT317,A,İş Etiği,İşletme Fakültesi,6,SİBEL OKTAR THOMAS,"Pazartesi | 12:40 - 15:30
"
MGMT401,A,Teknoloji ve İnovasyon Yönetimi,İşletme Fakültesi,6,ERIK DEN HARTIGH,"Çarşamba | 15:40 - 18:30
"
MGMT402,A,Strateji,İşletme Fakültesi,6,ALPTEGİN ALBAYRAKTAROĞLU,"Çarşamba | 08:40 - 11:30
"
MGMT402,B,Strateji,İşletme Fakültesi,6,ALPTEGİN ALBAYRAKTAROĞLU,"Pazartesi | 08:40 - 11:30
"
MGMT404,A,Uluslararası Yönetim,İşletme Fakültesi,6,NİLÜFER YAPICI,"Salı | 13:40 - 16:30
"
MIS104,A,Nesneye Dayalı Programlama Temelleri,İşletme Fakültesi,6,YAVUZ SELİM HİNDİSTAN,"Perşembe | 11:40 - 14:30
"
MIS203,A,Veritabanı Yönetimi,İşletme Fakültesi,6,YAVUZ SELİM HİNDİSTAN,"Cuma | 09:40 - 12:30
"
MIS206,A,İş Süreçleri Analizi,İşletme Fakültesi,6,MELTEM ÖZTURAN,"Salı | 08:40 - 11:30
"
MIS304,A,Bilişim Güvenliği,İşletme Fakültesi,6,ALİ OSMAN ÖZDİLEK,"Perşembe | 16:40 - 19:30
"
MIS306,A,E-İş'in Temelleri,İşletme Fakültesi,6,MELİKE NUR FINDIKOĞLU,"Salı | 13:40 - 16:30
"
MIS311,A,Yönetim Bilişim Sistemlerine Giriş,İşletme Fakültesi,6,MESUT SAYIN,"Çarşamba | 15:40 - 18:30
"
MIS311,B,Yönetim Bilişim Sistemlerine Giriş,İşletme Fakültesi,6,MESUT SAYIN,"Çarşamba | 08:40 - 11:30
"
MIS311,C,Yönetim Bilişim Sistemlerine Giriş,İşletme Fakültesi,6,MESUT SAYIN,"Pazartesi | 15:40 - 18:30
"
MIS317,A,İşletmeler için Bulut Bilişim,İşletme Fakültesi,6,YAVUZ SELİM HİNDİSTAN,"Çarşamba | 12:40 - 15:30
"
MIS321,A,Veri Madenciliği,İşletme Fakültesi,6,ORÇUN TEMİZKAN,"Salı | 10:40 - 13:30
